"questionnaire_code","questionnaire_title","question_group","question_order","question_type","question_type_description","question_index","question_code","question_description","subquestion_code","subquestion_description","question_scale","question_scale_label","option_code","option_description"
"Q44071","Unified Admission Assessment","History of present illnes","43","M","Multiple choice","mulInjOrtsurgRILimb[RKnee]","mulInjOrtsurgRILimb","If RIGHT LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","RKnee","Knee","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","43","M","Multiple choice","mulInjOrtsurgRILimb[RLeg]","mulInjOrtsurgRILimb","If RIGHT LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","RLeg","Leg","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","43","M","Multiple choice","mulInjOrtsurgRILimb[RThigh]","mulInjOrtsurgRILimb","If RIGHT LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","RThigh","Thigh","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","43","M","Multiple choice","mulInjOrtsurgRILimb[RToes]","mulInjOrtsurgRILimb","If RIGHT LOWER LIMB ORTHOPEDIC or CRANIOFACIAL SURGERY,","RToes","Toes","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Aneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Aneurysm","Aneurysm","","","Graft","Graft"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Aneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Aneurysm","Aneurysm","","","Ligat","Ligature"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Aneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Aneurysm","Aneurysm","","","NINA","Not informed / not assessed"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Aneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Aneurysm","Aneurysm","","","Patch","Patch"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Aneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Aneurysm","Aneurysm","","","Sutur","Suture "
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Aneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Aneurysm","Aneurysm","","","TTA","Termino-terminal anastomosis"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Aneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Aneurysm","Aneurysm","","","Tomy","Tromboembolectomy"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Disruption]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Disruption","Disruption","","","Graft","Graft"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Disruption]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Disruption","Disruption","","","Ligat","Ligature"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Disruption]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Disruption","Disruption","","","NINA","Not informed / not assessed"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Disruption]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Disruption","Disruption","","","Patch","Patch"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Disruption]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Disruption","Disruption","","","Sutur","Suture "
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Disruption]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Disruption","Disruption","","","TTA","Termino-terminal anastomosis"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Disruption]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Disruption","Disruption","","","Tomy","Tromboembolectomy"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Fistula]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Fistula","Fistula","","","Graft","Graft"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Fistula]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Fistula","Fistula","","","Ligat","Ligature"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Fistula]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Fistula","Fistula","","","NINA","Not informed / not assessed"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Fistula]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Fistula","Fistula","","","Patch","Patch"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Fistula]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Fistula","Fistula","","","Sutur","Suture "
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Fistula]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Fistula","Fistula","","","TTA","Termino-terminal anastomosis"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Fistula]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Fistula","Fistula","","","Tomy","Tromboembolectomy"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[NINA]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","NINA","Not informed / not assessed","","","Graft","Graft"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[NINA]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","NINA","Not informed / not assessed","","","Ligat","Ligature"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[NINA]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","NINA","Not informed / not assessed","","","NINA","Not informed / not assessed"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[NINA]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","NINA","Not informed / not assessed","","","Patch","Patch"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[NINA]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","NINA","Not informed / not assessed","","","Sutur","Suture "
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[NINA]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","NINA","Not informed / not assessed","","","TTA","Termino-terminal anastomosis"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[NINA]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","NINA","Not informed / not assessed","","","Tomy","Tromboembolectomy"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Pseudoaneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Pseudoaneurysm","Pseudoaneurysm","","","Graft","Graft"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Pseudoaneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Pseudoaneurysm","Pseudoaneurysm","","","Ligat","Ligature"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Pseudoaneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Pseudoaneurysm","Pseudoaneurysm","","","NINA","Not informed / not assessed"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Pseudoaneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Pseudoaneurysm","Pseudoaneurysm","","","Patch","Patch"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Pseudoaneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Pseudoaneurysm","Pseudoaneurysm","","","Sutur","Suture "
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Pseudoaneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Pseudoaneurysm","Pseudoaneurysm","","","TTA","Termino-terminal anastomosis"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Pseudoaneurysm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Pseudoaneurysm","Pseudoaneurysm","","","Tomy","Tromboembolectomy"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Spasm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Spasm","Spasm","","","Graft","Graft"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Spasm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Spasm","Spasm","","","Ligat","Ligature"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Spasm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Spasm","Spasm","","","NINA","Not informed / not assessed"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Spasm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Spasm","Spasm","","","Patch","Patch"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Spasm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Spasm","Spasm","","","Sutur","Suture "
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Spasm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Spasm","Spasm","","","TTA","Termino-terminal anastomosis"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Spasm]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Spasm","Spasm","","","Tomy","Tromboembolectomy"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Thrombosis]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Thrombosis","Thrombosis","","","Graft","Graft"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Thrombosis]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Thrombosis","Thrombosis","","","Ligat","Ligature"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Thrombosis]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Thrombosis","Thrombosis","","","NINA","Not informed / not assessed"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Thrombosis]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Thrombosis","Thrombosis","","","Patch","Patch"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Thrombosis]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Thrombosis","Thrombosis","","","Sutur","Suture "
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Thrombosis]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Thrombosis","Thrombosis","","","TTA","Termino-terminal anastomosis"
"Q44071","Unified Admission Assessment","History of present illnes","67","F","Array (Flexible Labels)","lstInjRBrachialArt[Thrombosis]","lstInjRBrachialArt","If RIGHT BRACHIAL ARTERY lesion, what was the type of lesion and treatment,","Thrombosis","Thrombosis","","","Tomy","Tromboembolectomy"
"Q44071","Unified Admission Assessment","History of present illnes","82","M","Multiple choice","mulInjLOrthesisType[LArmSling]","mulInjLOrthesisType","If you use a LEFT upper limb ORTHESIS, choose the type(s),","LArmSling","Arm sling","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","82","M","Multiple choice","mulInjLOrthesisType[LFingersPosition]","mulInjLOrthesisType","If you use a LEFT upper limb ORTHESIS, choose the type(s),","LFingersPosition","Fingers positioning orthosis","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","82","M","Multiple choice","mulInjLOrthesisType[LShoulderSupport]","mulInjLOrthesisType","If you use a LEFT upper limb ORTHESIS, choose the type(s),","LShoulderSupport","Shoulder support","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","82","M","Multiple choice","mulInjLOrthesisType[LWristFingersPositio]","mulInjLOrthesisType","If you use a LEFT upper limb ORTHESIS, choose the type(s),","LWristFingersPositio","Wrist and fingers orthosis","","","",""
"Q44071","Unified Admission Assessment","History of present illnes","82","M","Multiple choice","mulInjLOrthesisType[NINA]","mulInjLOrthesisType","If you use a LEFT upper limb ORTHESIS, choose the type(s),","NINA","Not informed / not assessed","","","",""
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LElbowExte]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LElbowExte","Elbow extension","","","As","Assessed"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LElbowExte]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LElbowExte","Elbow extension","","","NAIA","Not assessed / inconclusive assessment"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LElbowFlex]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LElbowFlex","Elbow flexion","","","As","Assessed"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LElbowFlex]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LElbowFlex","Elbow flexion","","","NAIA","Not assessed / inconclusive assessment"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LForearmProna]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LForearmProna","Forearm Pronation","","","As","Assessed"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LForearmProna]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LForearmProna","Forearm Pronation","","","NAIA","Not assessed / inconclusive assessment"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LForearmSupin]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LForearmSupin","Forearm supination","","","As","Assessed"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LForearmSupin]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LForearmSupin","Forearm supination","","","NAIA","Not assessed / inconclusive assessment"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LShoulderAbdu]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LShoulderAbdu","Shoulder abduction","","","As","Assessed"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LShoulderAbdu]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LShoulderAbdu","Shoulder abduction","","","NAIA","Not assessed / inconclusive assessment"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LShoulderExRot]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LShoulderExRot","Shoulder external rotation","","","As","Assessed"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LShoulderExRot]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LShoulderExRot","Shoulder external rotation","","","NAIA","Not assessed / inconclusive assessment"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LShoulderExte]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LShoulderExte","Shoulder extension","","","As","Assessed"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LShoulderExte]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LShoulderExte","Shoulder extension","","","NAIA","Not assessed / inconclusive assessment"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LShoulderFlex]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LShoulderFlex","Shoulder flexion","","","As","Assessed"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LShoulderFlex]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LShoulderFlex","Shoulder flexion","","","NAIA","Not assessed / inconclusive assessment"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LWristExte]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LWristExte","Wrist extension","","","As","Assessed"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LWristExte]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LWristExte","Wrist extension","","","NAIA","Not assessed / inconclusive assessment"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LWristFlex]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LWristFlex","Wrist flexion","","","As","Assessed"
"Q44071","Unified Admission Assessment","Physical Exam","24","F","Array (Flexible Labels)","lstPexRomL[LWristFlex]","lstPexRomL","If RANGE OF MOTION was assessed on the LEFT:","LWristFlex","Wrist flexion","","","NAIA","Not assessed / inconclusive assessment"
"Q44071","Unified Admission Assessment","Past medical history","43","M","Multiple choice","mulPreTsciSite[Cervical]","mulPreTsciSite","If PREVIOUS HISTORY of SPINAL CORD INJURY,","Cervical","Cervical","","","",""
"Q44071","Unified Admission Assessment","Past medical history","43","M","Multiple choice","mulPreTsciSite[Lumbar]","mulPreTsciSite","If PREVIOUS HISTORY of SPINAL CORD INJURY,","Lumbar","Lumbar","","","",""
"Q44071","Unified Admission Assessment","Past medical history","43","M","Multiple choice","mulPreTsciSite[NINA]","mulPreTsciSite","If PREVIOUS HISTORY of SPINAL CORD INJURY,","NINA","Not informed / not assessed","","","",""
