"questionnaire_code","questionnaire_title","question_group","question_order","question_type","question_type_description","question_index","question_code","question_description","subquestion_code","subquestion_description","question_scale","question_scale_label","option_code","option_description"
"Q61802","Unified surgical evaluation ","Surgical Data","203","M","Multiple choice","mulLTGraftr[Glue]","mulLTGraftr","Types of repairs used in the Long thoracic nerve graft(s):","Glue","Glue","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","203","M","Multiple choice","mulLTGraftr[NINA]","mulLTGraftr","Types of repairs used in the Long thoracic nerve graft(s):","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","203","M","Multiple choice","mulLTGraftr[Suture]","mulLTGraftr","Types of repairs used in the Long thoracic nerve graft(s):","Suture","Suture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","226","T","Long Free Text","txtRaGrafte","txtRaGrafte","Radial nerve graft's extent(s):","","","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","229","L","List (Radio)","lstMeGraftn","lstMeGraftn","How many grafts were used in Median nerve?","","","","","1","1"
"Q61802","Unified surgical evaluation ","Surgical Data","229","L","List (Radio)","lstMeGraftn","lstMeGraftn","How many grafts were used in Median nerve?","","","","","2","2"
"Q61802","Unified surgical evaluation ","Surgical Data","229","L","List (Radio)","lstMeGraftn","lstMeGraftn","How many grafts were used in Median nerve?","","","","","3","3"
"Q61802","Unified surgical evaluation ","Surgical Data","229","L","List (Radio)","lstMeGraftn","lstMeGraftn","How many grafts were used in Median nerve?","","","","","4","4"
"Q61802","Unified surgical evaluation ","Surgical Data","229","L","List (Radio)","lstMeGraftn","lstMeGraftn","How many grafts were used in Median nerve?","","","","","5","5"
"Q61802","Unified surgical evaluation ","Surgical Data","229","L","List (Radio)","lstMeGraftn","lstMeGraftn","How many grafts were used in Median nerve?","","","","","6","6"
"Q61802","Unified surgical evaluation ","Surgical Data","229","L","List (Radio)","lstMeGraftn","lstMeGraftn","How many grafts were used in Median nerve?","","","","","NINA","Not informed / not assessed"
"Q61802","Unified surgical evaluation ","Surgical Data","110","L","List (Radio)","lstOtherTxGraftn","lstOtherTxGraftn","How many grafts were used in the Other transfer?","","","","","1","1"
"Q61802","Unified surgical evaluation ","Surgical Data","110","L","List (Radio)","lstOtherTxGraftn","lstOtherTxGraftn","How many grafts were used in the Other transfer?","","","","","2","2"
"Q61802","Unified surgical evaluation ","Surgical Data","110","L","List (Radio)","lstOtherTxGraftn","lstOtherTxGraftn","How many grafts were used in the Other transfer?","","","","","3","3"
"Q61802","Unified surgical evaluation ","Surgical Data","110","L","List (Radio)","lstOtherTxGraftn","lstOtherTxGraftn","How many grafts were used in the Other transfer?","","","","","4","4"
"Q61802","Unified surgical evaluation ","Surgical Data","110","L","List (Radio)","lstOtherTxGraftn","lstOtherTxGraftn","How many grafts were used in the Other transfer?","","","","","5","5"
"Q61802","Unified surgical evaluation ","Surgical Data","110","L","List (Radio)","lstOtherTxGraftn","lstOtherTxGraftn","How many grafts were used in the Other transfer?","","","","","6","6"
"Q61802","Unified surgical evaluation ","Surgical Data","110","L","List (Radio)","lstOtherTxGraftn","lstOtherTxGraftn","How many grafts were used in the Other transfer?","","","","","NINA","Not informed / not assessed"
"Q61802","Unified surgical evaluation ","Surgical Data","75","T","Long Free Text","txtDoubleTxTubuliz","txtDoubleTxTubuliz","Which materials were used  for tubulization in Double transfer?","","","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","119","T","Long Free Text","txtPhMcTxGrafte","txtPhMcTxGrafte","Graft's extent(s) used in Phrenic - Musculocutaneous transfer:","","","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","163","M","Multiple choice","mulGraftsMTrunk[NINA]","mulGraftsMTrunk","Middle trunk graft's origin:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","163","M","Multiple choice","mulGraftsMTrunk[Sural]","mulGraftsMTrunk","Middle trunk graft's origin:","Sural","sural nerve","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","187","M","Multiple choice","mulPGraftr[Glue]","mulPGraftr","Types of repairs used in the Lateral pectoral nerve graft(s):","Glue","Glue","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","187","M","Multiple choice","mulPGraftr[NINA]","mulPGraftr","Types of repairs used in the Lateral pectoral nerve graft(s):","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","187","M","Multiple choice","mulPGraftr[Suture]","mulPGraftr","Types of repairs used in the Lateral pectoral nerve graft(s):","Suture","Suture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","15","M","Multiple choice","mulExplorC7[Continuity]","mulExplorC7","C7 injury:","Continuity","Continuity injury","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","15","M","Multiple choice","mulExplorC7[NINA]","mulExplorC7","C7 injury:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","15","M","Multiple choice","mulExplorC7[Neuroma]","mulExplorC7","C7 injury:","Neuroma","Neuroma","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","15","M","Multiple choice","mulExplorC7[Rupture]","mulExplorC7","C7 injury:","Rupture","Rupture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","34","M","Multiple choice","mulBpsurgeryType[Graft]","mulBpsurgeryType","Surgical procedures :","Graft","Graft","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","34","M","Multiple choice","mulBpsurgeryType[Lysis]","mulBpsurgeryType","Surgical procedures :","Lysis","Neurolysis","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","34","M","Multiple choice","mulBpsurgeryType[NINA]","mulBpsurgeryType","Surgical procedures :","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","34","M","Multiple choice","mulBpsurgeryType[Neuromad]","mulBpsurgeryType","Surgical procedures :","Neuromad","Neuroma dissection","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","34","M","Multiple choice","mulBpsurgeryType[Transf]","mulBpsurgeryType","Surgical procedures :","Transf","Nerve transfer","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","7","L","List (Radio)","yonExplor","yonExplor","Surgical exploration of the brachial plexus?","","","","","N","No"
"Q61802","Unified surgical evaluation ","Surgical Data","7","L","List (Radio)","yonExplor","yonExplor","Surgical exploration of the brachial plexus?","","","","","NINA","Not informed"
"Q61802","Unified surgical evaluation ","Surgical Data","7","L","List (Radio)","yonExplor","yonExplor","Surgical exploration of the brachial plexus?","","","","","Y","Yes"
"Q61802","Unified surgical evaluation ","Surgical Data","11","M","Multiple choice","mulExplorRoot[C4]","mulExplorRoot","Postganglionic injured root(s):","C4","C4","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","11","M","Multiple choice","mulExplorRoot[C5]","mulExplorRoot","Postganglionic injured root(s):","C5","C5","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","11","M","Multiple choice","mulExplorRoot[C6]","mulExplorRoot","Postganglionic injured root(s):","C6","C6","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","11","M","Multiple choice","mulExplorRoot[C7]","mulExplorRoot","Postganglionic injured root(s):","C7","C7","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","11","M","Multiple choice","mulExplorRoot[C8]","mulExplorRoot","Postganglionic injured root(s):","C8","C8","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","11","M","Multiple choice","mulExplorRoot[NINA]","mulExplorRoot","Postganglionic injured root(s):","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","11","M","Multiple choice","mulExplorRoot[T1]","mulExplorRoot","Postganglionic injured root(s):","T1","T1","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","11","M","Multiple choice","mulExplorRoot[T2]","mulExplorRoot","Postganglionic injured root(s):","T2","T2","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","14","M","Multiple choice","mulExplorC6[Continuity]","mulExplorC6","C6 injury:","Continuity","Continuity injury","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","14","M","Multiple choice","mulExplorC6[NINA]","mulExplorC6","C6 injury:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","14","M","Multiple choice","mulExplorC6[Neuroma]","mulExplorC6","C6 injury:","Neuroma","Neuroma","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","14","M","Multiple choice","mulExplorC6[Rupture]","mulExplorC6","C6 injury:","Rupture","Rupture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","13","M","Multiple choice","mulExplorC5[Continuity]","mulExplorC5","C5 injury:","Continuity","Continuity injury","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","13","M","Multiple choice","mulExplorC5[NINA]","mulExplorC5","C5 injury:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","13","M","Multiple choice","mulExplorC5[Neuroma]","mulExplorC5","C5 injury:","Neuroma","Neuroma","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","13","M","Multiple choice","mulExplorC5[Rupture]","mulExplorC5","C5 injury:","Rupture","Rupture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","25","M","Multiple choice","mulExplorPDivisionUT[Continuity]","mulExplorPDivisionUT","Injury of the posterior division of the upper trunk:","Continuity","Continuity injury","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","25","M","Multiple choice","mulExplorPDivisionUT[NINA]","mulExplorPDivisionUT","Injury of the posterior division of the upper trunk:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","25","M","Multiple choice","mulExplorPDivisionUT[Neuroma]","mulExplorPDivisionUT","Injury of the posterior division of the upper trunk:","Neuroma","Neuroma","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","25","M","Multiple choice","mulExplorPDivisionUT[Rupture]","mulExplorPDivisionUT","Injury of the posterior division of the upper trunk:","Rupture","Rupture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","29","M","Multiple choice","mulExplorPDivisionIT[Continuity]","mulExplorPDivisionIT","Injury of the posterior division of the lower trunk:","Continuity","Continuity injury","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","29","M","Multiple choice","mulExplorPDivisionIT[NINA]","mulExplorPDivisionIT","Injury of the posterior division of the lower trunk:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","29","M","Multiple choice","mulExplorPDivisionIT[Neuroma]","mulExplorPDivisionIT","Injury of the posterior division of the lower trunk:","Neuroma","Neuroma","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","29","M","Multiple choice","mulExplorPDivisionIT[Rupture]","mulExplorPDivisionIT","Injury of the posterior division of the lower trunk:","Rupture","Rupture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[AcMc]","mulTransfSite","Nerve transfer:","AcMc","Accessory - Musculocutaneous","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[AcSsAA]","mulTransfSite","Nerve transfer:","AcSsAA","Accessory-SE by anterior access","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[AcSsPA]","mulTransfSite","Nerve transfer:","AcSsPA","Accessory-SE by posterior access","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[C7cont]","mulTransfSite","Nerve transfer:","C7cont","Contralateral C7","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[C7ipsi]","mulTransfSite","Nerve transfer:","C7ipsi","Ipsilateral C7 ","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[Double]","mulTransfSite","Nerve transfer:","Double","Double transfer","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[IAx]","mulTransfSite","Nerve transfer:","IAx","Intercostal - Axilary (trunk/ anterior division)","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[IMc]","mulTransfSite","Nerve transfer:","IMc","Intercostal - Musculocutaneous","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[MPAx]","mulTransfSite","Nerve transfer:","MPAx","Medial pectoral - Axilary","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[MPMc]","mulTransfSite","Nerve transfer:","MPMc","Medial pectoral - Musculocutaneous","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[MeBr]","mulTransfSite","Nerve transfer:","MeBr","Median - Brachial branch","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[MeMc]","mulTransfSite","Nerve transfer:","MeMc","Median - Musculocutaneous","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[NINA]","mulTransfSite","Nerve transfer:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[Oberlin]","mulTransfSite","Nerve transfer:","Oberlin","Oberlin","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[Other]","mulTransfSite","Nerve transfer:","Other","Other transfer","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[PhAc]","mulTransfSite","Nerve transfer:","PhAc","Phrenic - Accessory","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[PhMc]","mulTransfSite","Nerve transfer:","PhMc","Phrenic - Musculocutaneous","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","41","M","Multiple choice","mulTransfSite[TrAx]","mulTransfSite","Nerve transfer:","TrAx","Triceps (Lo/M/La) - Axilary (trunk/ anterior division)","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","17","M","Multiple choice","mulExplorT1[Continuity]","mulExplorT1","T1 injury:","Continuity","Continuity injury","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","17","M","Multiple choice","mulExplorT1[NINA]","mulExplorT1","T1 injury:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","17","M","Multiple choice","mulExplorT1[Neuroma]","mulExplorT1","T1 injury:","Neuroma","Neuroma","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","17","M","Multiple choice","mulExplorT1[Rupture]","mulExplorT1","T1 injury:","Rupture","Rupture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","22","M","Multiple choice","mulExplorITrunk[Continuity]","mulExplorITrunk","Lower trunk injury:","Continuity","Continuity injury","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","22","M","Multiple choice","mulExplorITrunk[NINA]","mulExplorITrunk","Lower trunk injury:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","22","M","Multiple choice","mulExplorITrunk[Neuroma]","mulExplorITrunk","Lower trunk injury:","Neuroma","Neuroma","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","22","M","Multiple choice","mulExplorITrunk[Rupture]","mulExplorITrunk","Lower trunk injury:","Rupture","Rupture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","27","M","Multiple choice","mulExplorPDivisionMT[Continuity]","mulExplorPDivisionMT","Injury of the posterior division of the middle trunk:","Continuity","Continuity injury","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","27","M","Multiple choice","mulExplorPDivisionMT[NINA]","mulExplorPDivisionMT","Injury of the posterior division of the middle trunk:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","27","M","Multiple choice","mulExplorPDivisionMT[Neuroma]","mulExplorPDivisionMT","Injury of the posterior division of the middle trunk:","Neuroma","Neuroma","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","27","M","Multiple choice","mulExplorPDivisionMT[Rupture]","mulExplorPDivisionMT","Injury of the posterior division of the middle trunk:","Rupture","Rupture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","33","M","Multiple choice","mulExplorMeCord[Continuity]","mulExplorMeCord","Medial cord injury:","Continuity","Continuity injury","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","33","M","Multiple choice","mulExplorMeCord[NINA]","mulExplorMeCord","Medial cord injury:","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","33","M","Multiple choice","mulExplorMeCord[Neuroma]","mulExplorMeCord","Medial cord injury:","Neuroma","Neuroma","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","33","M","Multiple choice","mulExplorMeCord[Rupture]","mulExplorMeCord","Medial cord injury:","Rupture","Rupture","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","19","M","Multiple choice","mulExplorTrunk[Lower]","mulExplorTrunk","Injured Trunk(s):","Lower","Lower","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","19","M","Multiple choice","mulExplorTrunk[Middle]","mulExplorTrunk","Injured Trunk(s):","Middle","Middle","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","19","M","Multiple choice","mulExplorTrunk[NINA]","mulExplorTrunk","Injured Trunk(s):","NINA","Not informed / not assessed","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","19","M","Multiple choice","mulExplorTrunk[Upper]","mulExplorTrunk","Injured Trunk(s):","Upper","Upper","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","23","M","Multiple choice","mulExplorDivision[ADivisionITrunk]","mulExplorDivision","Injured division(s):","ADivisionITrunk","anterior division lower trunk","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","23","M","Multiple choice","mulExplorDivision[ADivisionMTrunk]","mulExplorDivision","Injured division(s):","ADivisionMTrunk","anterior division middle trunk","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","23","M","Multiple choice","mulExplorDivision[ADivisionUTrunk]","mulExplorDivision","Injured division(s):","ADivisionUTrunk","anterior division upper trunk","","","",""
"Q61802","Unified surgical evaluation ","Surgical Data","23","M","Multiple choice","mulExplorDivision[NINA]","mulExplorDivision","Injured division(s):","NINA","Not informed / not assessed","","","",""
